"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"6","","0","Accept the current version of the RDB terms and conditions","0","0","","0"
"11","","0","Manage producer associations and operational email","0","0","","0"
"0","","7","Reward batches for Bonus Elettrodomestici and Refund Approval Process","0","0","","0"
"0","","3","Export Transactions (Report CSV)","6","0","","0"
"2","","2","Reward batch counters are derived from current PostgreSQL transactions","0","0","","0"
"40","","0","Manage the product CSV lifecycle","0","0","","0"
"0","","6","Reward batches for Bonus Elettrodomestici barcode payments","0","0","","0"
"0","","5","Onboarding Bonus Elettrodomestici","5","0","","0"
"7","","0","Access and authorization to RDB","0","0","","0"
"17","","0","Consult products, batches and producers in the RDB registry","0","0","","0"
"12","","0","Change product status with role checks and atomic updates","0","0","","0"
"0","","0","Export User Details (Report CSV)","6","0","","0"
"6","","0","List the initiatives available to an RDB organization","0","0","","0"
"8","","0","Notify producers about CSV processing and rejected products","0","0","","0"
"0","","1","Barcode payments for Bonus Elettrodomestici","7","0","","0"
